"longname","name","sentencename","slug","regionslug","lowincome","P20pop","PercentinP20","MaximumIncomeConsumptionNP20","NationalP20Average","NationalRestAverage","GapBetweenNP20Rest2013","minimumincome","growinggap","stuntingtrends","birthregtrends","birthregtrends1","gap_1999","gap_2013","Year","nationalstunting","nationalP20stunting","restP20stunting","NP20Reg","restreg","SecondaryCompletion","nateducYear","p20educYear","secondarycompletionP20","secondarycompletionrest"
"Czech Republic","Czech Republic","the Czech Republic","czech-republic","Europe",FALSE,0,0,16.75,12.512660375,29.9823828514555,17.4697224764555,10.5,"increasing","",,"",12.9232726990582,17.4697224764555,,,,,,,99.8076629638672,2015,,,
"Democratic People’s Republic of Korea","DPRK","the DPRK","dprk","Asia",TRUE,,,,,,,,,,,,,,2012,27.9,,,,,,,,,
"Democratic Republic of the Congo","DRC","the DRC","drc","Africa",TRUE,60814278.72,85.2696,0.62,0.42943556,1.83091645246575,1.40148089246575,0.33,"decreasing","decreasing","decreased","decreasing",0.720377895890411,1.40148089246575,2013,42.7,49.4,40.7,16,27.75,50.6642990112305,2016,2013,27.1876,55.32518
"Denmark","Denmark","Denmark","denmark","Europe",FALSE,13607.616,0.24256,31.1,23.3721165,58.3976558065068,35.0255393065068,20,"increasing","",,"",28.0332199383562,35.0255393065068,,,,,,,92.0675811767578,2015,,,
"Djibouti","Djibouti","Djibouti","djibouti","Africa",TRUE,294124.5,32.6805,1.8,1.194471,5.76988909931507,4.57541809931507,0.9,"decreasing","increasing",,"",3.90717458304795,4.57541809931507,2012,33.5,,,,,,,2006,,
"Dominican Republic","Dominican Republic","the Dominican Republic","dominican-republic","LAC",TRUE,599989.116,5.83647,4.31,3.014670445,14.4831269092979,11.4684564642979,2.43,"increasing","decreasing","increased","increasing",14.3030067955479,11.4684564642979,2013,7.1,11.6,5.7,73,93.5,56.611328125,2015,2014,77.97,85.515
"Ecuador","Ecuador","Ecuador","ecuador","LAC",TRUE,931660.38,5.9493,4.58,3.0653482,16.1352519910959,13.0699037910959,2.35,"increasing","decreasing","increased","increasing",8.18332575513699,13.0699037910959,2014,23.9,,,,,52.1816711425781,2015,2014,80.62,89.2
"Egypt","Egypt","Egypt","egypt","Africa",TRUE,7906737.685,8.80385,3.12,2.52094284,6.07735333109589,3.55641049109589,2.18,"increasing","about.the.same","stayed constant","about.the.same",3.56457663133562,3.55641049109589,2014,22.3,24.8,21.7,99,99.75,44.4307289123535,2006,2014,70.59829,83.577045
"El Salvador","El Salvador","El Salvador","el-salvador","LAC",TRUE,439258.125,7.02813,3.99,2.800966035,11.9351420528938,9.1341760178938,2.22,"increasing","decreasing","decreased","decreasing",9.5074552628425,9.1341760178938,2014,13.6,23.6,10.4,98,98.75,41.037971496582,2013,2014,51.27,77.8475
"Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","equatorial-guinea","Africa",TRUE,,,,,,,,,,,,,,2011,26.2,,,60,50,,,,,
