"CountryName","P20pop","Percent.in.P20","Maximum.Income.Consumption.NP20","National.P20.Average","National.Rest.Average","Gap.Between.NP20.Rest.2013","minimum.income","growinggap","stuntingtrends","birthregtrends","birthregtrends"
"Portugal",128128.724,1.22494,12.25,7.818482875,29.3622148976884,21.5437320226884,5.78,"increasing",,,
"Romania",400355.244,2.00378,5.11,3.892667695,9.98197006255137,6.08930236755137,3.31,"decreasing",,,
"Russian Federation",99035.38994,0.0690094,10.5,7.917,29.1066267123288,21.1896267123288,6.65,"increasing",,,
"Rwanda",8120243.52,73.3536,0.96,0.714012,3.26883398630137,2.55482198630137,0.6,"increasing","decreasing","decreasing","decreasing"
"Samoa",8573.218,4.51222,3.88,3.02792872,11.084716450137,8.056787730137,2.63,"increasing",,"increasing","increasing"
"Sao Tome and Principe",95896.42,50.4718,1.62,1.26345096,3.45255232849315,2.18910136849315,1.13,"increasing","decreasing","increasing","increasing"
"Senegal",7586280.64,53.7272,1.37,0.969172935,3.75542868405822,2.78625574905822,0.8,"increasing","decreasing","increasing","increasing"
"Serbia",61465.0916,0.858451,6.4,4.8985088,12.9004412931507,8.0019324931507,4.12,"decreasing","decreasing","about.the.same","about.the.same"
"Seychelles",1363.599,1.51511,9.3,6.2342643,27.1693928291096,20.9351285291096,4.66,"increasing",,,
"Sierra Leone",3658008.88,52.8614,1.58,1.22455846,3.56764942609589,2.34309096609589,1.05,"increasing","decreasing","increasing","increasing"
"Slovakia",23787.6077,0.439697,13.25,9.268587,25.7110724280822,16.4424854280822,7.11,"increasing",,,
"Slovenia",0,0,20.5,15.07126175,37.2457599049658,22.1744981549658,12.5,"increasing",,,
"Solomon Islands",236332.32,42.2022,1.72,1.27432478,4.24799414746575,2.97366936746575,1.05,"decreasing","decreasing","increasing","increasing"
"South Africa",14568929.97,27.3287,2.06,1.38317361,14.0748367344863,12.6916631244863,1.22,"increasing","increasing","increasing","increasing"
"South Sudan",9032344.36,80.7902,0.54,0.33142122,2.06188168130137,1.73046046130137,0.23,"increasing",,,
"Spain",694829.142,1.49041,16,10.051888,41.8151101917808,31.7632221917808,6.89,"increasing",,,
"Sri Lanka",1283236.747,6.23233,3.6,2.7999432,9.13397310410959,6.33402990410959,2.38,"increasing","decreasing",,
"Saint Lucia",75659.76,42.0332,1.5,0.98910975,4.75594174058219,3.76683199058219,0.75,"increasing",,,
"Sudan",6311778.55,17.1283,2.71,1.94908349,6.65548255215753,4.70639906215753,1.59,"increasing","about.the.same","increasing","increasing"
"Suriname",114153.84,21.1396,2.31,0.5569872,13.8737942958904,13.3168070958904,0.01,"increasing",,,
"Swaziland",651972.28,51.3364,1.23,0.842143485,5.05582029313356,4.21367680813356,0.64,"increasing","decreasing","increasing","increasing"
"Sweden",47097.984,0.490604,31.25,22.115171875,58.9999741545377,36.8848022795377,18,"increasing",,,
"Switzerland",0,0,34.05,26.178474225,75.8933266492295,49.7148524242295,22.75,"increasing",,,
"Syrian Arab Republic",3573030.65,18.0365,2.64,2.047254,6.18085773287671,4.13360373287671,1.78,"increasing",,,
"Tajikistan",1010516.3,12.3535,3.02,2.262131,6.75833026369863,4.49619926369863,2.08,"decreasing","decreasing","about.the.same","about.the.same"
"United Republic of Tanzania",33119775.36,65.4024,1.27,0.99413695,3.12463288578767,2.13049593578767,0.87,"increasing","decreasing","increasing","increasing"
"Thailand",163487.6206,0.239929,6.68,5.11706704,17.1805551578082,12.0634881178082,4.42,"increasing","decreasing","about.the.same","about.the.same"
"Timor-Leste",693266.52,58.7514,1.6,1.2901576,3.09469895616438,1.80454135616438,1.17,"increasing","decreasing",,
"Togo",4568234.88,64.8897,0.94,0.65207847,3.15820230030822,2.50612383030822,0.53,"increasing","decreasing","about.the.same","about.the.same"
"Tonga",4004.099,3.64009,4.56,3.3487728,11.596409539726,8.247636739726,2.83,"increasing",,,
"Trinidad and Tobago",22539.735,1.66961,6.68,4.58938712,19.6927080145205,15.1033208945205,3.62,"increasing",,,
"Tunisia",315126.018,2.86218,5.39,3.805164825,13.1815444101884,9.3763795851884,3.06,"increasing","increasing",,
"Turkey",1018473.599,1.34381,7.19,4.970447,20.0149772910959,15.0445302910959,3.93,"increasing","decreasing","increasing","increasing"
"Turkmenistan",689395.23,12.8379,3.07,2.277330605,8.85037967751712,6.57304907251712,1.91,"increasing","decreasing","about.the.same","about.the.same"
"Tuvalu",829.589,8.29589,3.63,2.70970062,9.60534196828767,6.89564134828767,2.25,"increasing",,,
"Uganda",20352926.1,54.2022,1.45,1.057904775,3.89019503912671,2.83229026412671,0.87,"increasing","decreasing",,
"Ukraine",20303.50621,0.0446329,8.35,6.7273445,14.6919994914384,7.9646549914384,5.99,"increasing",,"about.the.same","about.the.same"
"United Kingdom of Great Britain and Northern Ireland",153951.1193,0.240061,23,16.9246075,53.1633686729452,36.2387611729452,14.5,"increasing",,,
"United States of America",4271830.38,1.35099,25.25,16.138095625,74.7890377375856,58.6509421125856,12,"increasing","decreasing",,
"Uruguay",14207.5604,0.416644,10,6.923955,29.4234359075342,22.4994809075342,5.49,"increasing",,,
"Uzbekistan",11391075.36,37.6689,1.94,1.41026845,4.39972055873288,2.98945210873288,1.13,"decreasing",,,
"Vanuatu",63923.75,25.5695,2.28,1.68715212,5.83193799739726,4.14478587739726,1.38,"increasing","increasing","increasing","increasing"
"Venezuela (Bolivarian Republic of)",2960860.184,9.76537,4.89,2.2957083,17.4508948428082,15.1551865428082,0.01,"increasing",,,
"Viet Nam",5950064.736,6.62886,3.93,2.839914285,9.35514471642123,6.51523043142123,2.26,"increasing","decreasing","increasing","increasing"
"Occupied Palestinian Territory",35618.6805,0.854165,5.5,4.20081475,12.622399052226,8.421584302226,3.53,"increasing","decreasing","about.the.same","about.the.same"
"Yemen",8294775.44,32.4268,2.04,1.5548421,4.89667303664384,3.34183093664384,1.34,"decreasing","decreasing","increasing","increasing"
"Zambia",10334708.85,68.2159,0.7,0.471366,3.54302151369863,3.07165551369863,0.46,"decreasing","decreasing","decreasing","decreasing"
"Zimbabwe",4197776.1,27.8922,2.13,1.633331925,6.6022971557363,4.9689652307363,1.36,"decreasing","decreasing","decreasing","decreasing"
"India",471095660.48,36.8458,2.02,1.61854015,4.5779950994863,2.9594549494863,1.58,"increasing","decreasing","increasing","increasing"
"China",81500352.912,6.00424,3.97,2.91324158,11.0948539885616,8.1816124085616,2.07,"increasing","decreasing",,
